1;382;148;604;368;1988;В ремонте
1;382;148;604;368;1988;В ремонте
2;388;744;664;497;2003;Действует
3;81;653;756;618;1989;Действует
4;377;297;226;702;2023;Действует
5;202;255;110;99;1993;Действует
6;183;99;898;196;1960;Снят с эксплуатации
7;515;89;585;82;2007;В ремонте
8;467;554;431;818;2014;Действует
9;462;893;180;143;1971;Снят с эксплуатации
10;305;212;439;518;2002;Действует
11;99;437;706;850;1983;Снят с эксплуатации
12;273;880;373;191;2009;В ремонте
13;585;712;467;540;1963;Действует
14;290;993;683;991;2012;Действует
15;340;661;111;434;2018;Действует
16;687;998;999;205;1961;Снят с эксплуатации
17;526;507;564;706;1958;Снят с эксплуатации
18;748;503;484;685;2022;Действует
19;371;989;553;412;1954;Снят с эксплуатации
20;400;642;348;516;1960;Снят с эксплуатации
21;249;881;900;385;1984;Действует
22;547;946;439;446;1950;Снят с эксплуатации
23;867;232;206;516;1982;Снят с эксплуатации
24;854;862;810;689;2010;Действует
25;34;380;328;706;1955;Снят с эксплуатации
26;822;534;540;598;1992;Действует
27;792;320;768;651;1957;Снят с эксплуатации
28;93;66;109;491;1961;Действует
29;233;29;867;149;1991;Действует
30;303;953;252;355;1994;Снят с эксплуатации
31;99;72;86;10;1974;Снят с эксплуатации
32;846;91;79;935;2004;Действует
33;108;978;399;136;1999;Снят с эксплуатации
34;211;649;363;612;2000;Снят с эксплуатации
35;578;887;606;714;1968;В ремонте
36;668;802;153;109;1992;Действует
37;371;580;526;558;1964;Снят с эксплуатации
38;459;78;992;415;1969;Снят с эксплуатации
39;638;25;769;335;2014;Действует
40;970;626;395;154;1958;Действует
41;114;204;734;774;2019;Действует
42;829;718;687;221;2004;Снят с эксплуатации
43;18;863;846;570;1991;Действует
44;671;27;611;735;1952;Снят с эксплуатации
45;309;278;688;523;2019;Действует
46;456;876;894;981;1995;Действует
47;346;628;700;836;2019;Действует
48;223;979;938;55;2012;Действует
49;54;552;266;304;2010;В ремонте
50;290;385;779;512;1975;Снят с эксплуатации
51;590;42;791;204;1977;Снят с эксплуатации
52;95;980;12;52;1973;Снят с эксплуатации
53;253;754;30;286;1998;Действует
54;223;673;959;533;1960;Снят с эксплуатации
55;367;175;313;945;1995;Снят с эксплуатации
56;637;646;585;143;1965;Снят с эксплуатации
57;456;872;335;960;1966;Снят с эксплуатации
58;247;992;292;372;1973;Действует
59;558;214;666;915;1952;Снят с эксплуатации
60;289;842;408;305;1967;Действует
61;649;387;514;462;1951;Снят с эксплуатации
62;434;256;443;350;1989;Снят с эксплуатации
63;624;466;200;904;1991;Действует
64;550;471;415;622;2007;Действует
65;825;948;535;471;1973;Снят с эксплуатации
66;58;226;246;575;2014;Действует
67;569;976;304;331;1954;Снят с эксплуатации
68;407;723;144;279;1995;Действует
69;699;169;464;233;1986;Снят с эксплуатации
70;268;908;8;944;2001;В ремонте
71;752;467;705;628;1974;Снят с эксплуатации
72;898;213;180;232;1977;Снят с эксплуатации
73;419;147;646;103;1981;Снят с эксплуатации
74;917;534;38;628;2000;Снят с эксплуатации
75;268;948;106;20;1963;Снят с эксплуатации
76;313;174;211;630;1978;Снят с эксплуатации
77;577;217;539;160;1989;Действует
78;368;770;169;147;2012;В ремонте
79;396;146;338;534;1996;Действует
80;423;56;166;414;1995;Действует
81;605;145;827;481;2020;Действует
82;630;800;954;944;2000;Действует
83;347;809;169;719;1969;Действует
84;20;841;461;677;1975;Снят с эксплуатации
85;409;789;328;395;1991;Снят с эксплуатации
86;440;793;637;303;1995;В ремонте
87;377;904;110;95;1962;Снят с эксплуатации
